"","Fire_ID","lat","long","el","FIRE_START","Fire_Year","StartBurnDay","interp_date","month","dmc","ffmc","dc"
"456","RED8_2014_1882",52.41053398,-92.69642034,374.532656,2014-06-05,2014,2014-06-05,2014-06-05,6,34.3483892111213,64.957730167823,87.9346536460474
"457","RED56_2013_1884",52.60155852,-93.53586479,337.0246377,2013-07-17,2013,2013-07-17,2013-07-17,7,30.5031500159356,85.9470098396191,227.78447155274
"458","SLK23_2013_1885",54.04560941,-89.92398155,197,2013-06-08,2013,2013-06-11,2013-06-11,6,23.6696613169129,32.0775199058691,115.009831779927
"459","NIP11_2013_1886",52.78793591,-86.29125812,157.8171695,2013-05-28,2013,2013-05-28,2013-05-28,5,24.0967188389765,92.927905381359,19.3651589450317
"460","NIP25_2013_1887",51.86153679,-88.44463876,345.8337021,2013-06-07,2013,2013-06-10,2013-06-10,6,26.5333488909788,71.4171508166036,76.8842523977436
"461","RED41_2013_1888",52.99026337,-94.07562762,295.8246869,2013-06-26,2013,2013-07-07,2013-07-07,7,37.928124868502,89.6566891215206,186.36040984895
"462","SLK22_2013_1889",53.4836776,-90.20183127,253.2463614,2013-06-08,2013,2013-06-08,2013-06-08,6,57.804818277328,92.983768505356,126.860731958931
"463","SLK21_2013_1890",53.16007865,-91.53201761,318.4735336,2013-06-07,2013,2013-06-07,2013-06-07,6,49.3073514178665,93.1202315193586,113.409145158938
"464","SLK31_2013_1891",53.9319649,-90.57702228,222,2013-06-10,2013,2013-06-24,2013-06-24,6,29.3370956248691,57.8640153736876,178.623762168453
"465","RED24_2013_1892",51.38174838,-94.07760181,406.7770346,2013-07-02,2013,2013-07-02,2013-07-02,7,27.746574912687,90.6068221605959,151.459175039887
"466","SLK37_2013_1893",52.96263101,-90.94923707,307.7247937,2013-07-04,2013,2013-07-04,2013-07-04,7,38.9739568201179,48.7026769262594,214.826941148183
"467","NIP23_2013_1894",51.88488428,-88.0467651,298.1064611,2013-06-07,2013,2013-06-07,2013-06-07,6,22.5477035809644,92.5034394404502,57.0401033047077
"468","SLK24_2013_1895",53.9114021,-89.68746614,218.2712934,2013-06-04,2013,2013-06-10,2013-06-10,6,62.9025919577263,88.1019041972554,131.639645738177
"469","SLK43_2013_1896",54.39962123,-90.00473806,170.8835997,2013-06-21,2013,2013-06-21,2013-06-21,6,30.4922226777869,87.3757433354111,140.111857516094
"470","SLK41_2013_1897",54.10682068,-89.78611637,190.0104676,2013-07-01,2013,2013-07-30,2013-07-30,7,30.7178530559239,87.3554570047966,333.039087466261
"471","TIM7_2012_1898",47.46349118,-81.575523,395.1314837,2012-05-14,2012,2012-05-16,2012-05-16,5,43.2653007348206,80.03114017919,111.487755708772
"472","RED60_2012_1899",53.35471668,-93.15302606,341.248131,2012-07-02,2012,2012-07-19,2012-07-19,7,53.6359587390967,89.5454237500446,230.476809486213
